"","geo","X2014M10","X2014M11","X2014M12","X2015M01","X2015M02","X2015M03","X2015M04","X2015M05","X2015M06","X2015M07","X2015M08","X2015M09"
"1","Euro area (changing composition)","11.5","11.5","11.4","11.3","11.2","11.2","11.1","11.1","11.1","11","11",":"
"2","Euro area (19 countries)","11.5","11.5","11.4","11.3","11.2","11.2","11.1","11.1","11.1","11","11",":"
"3","Euro area (18 countries)","11.5","11.5","11.4","11.3","11.2","11.2","11.1","11.1","11.1","11","11",":"
"4","EU (28 countries)","10","10","9.9","9.8","9.7","9.7","9.6","9.6","9.6","9.5","9.5",":"
"5","EU (27 countries)","10","9.9","9.8","9.7","9.7","9.6","9.6","9.5","9.5","9.4","9.4",":"
"6","Belgium","8.6","8.6","8.6","8.6","8.6","8.7","8.7","8.8","8.9","8.8","8.8",":"
"7","Bulgaria","10.9","10.6","10.2","10","9.9","10","10","10","9.9","9.8","9.7",":"
"8","Czech Republic","5.8","5.9","5.8","5.9","5.8","5.6","5.3","5.1","5","5.1","5",":"
"9","Denmark","6.5","6.4","6.1","6.1","6.2","6.4","6.3","6.3","6.2","6.3","6.3",":"
"10","Germany","5","4.9","4.8","4.8","4.8","4.8","4.7","4.7","4.7","4.6","4.5",":"
"11","Estonia","7","6.6","6.4","6.3","6","6.1","6.5","6.4","6.1","5.7",":",":"
"12","Ireland","10.6","10.4","10.2","10.2","10","9.8","9.7","9.6","9.5","9.5","9.5","9.4"
"13","Greece","26.1","25.9","25.9","25.9","25.8","26","25.3","24.8","25","25",":",":"
"14","Spain","23.8","23.7","23.6","23.4","23.1","22.9","22.7","22.6","22.5","22.3","22.2",":"
"15","France","10.4","10.5","10.5","10.4","10.4","10.3","10.3","10.4","10.5","10.7","10.8",":"
"16","Croatia","17.6","17.8","17.8","17.5","17.2","16.8","16.4","16.1","15.9","15.6","15.5",":"
"17","Italy","12.9","13","12.4","12.3","12.3","12.5","12.3","12.4","12.5","12","11.9",":"
"18","Cyprus","16.3","16.6","16.5","16.2","16.3","16.1","15.6","15.4","15.3","15.2","15.3",":"
"19","Latvia","10.7","10.5","10.1","9.8","9.8","9.9","9.5","9.7","10","10.1","9.9",":"
"20","Lithuania","10.3","10.1","10","9.5","9.3","9.1","9.5","9.5","9.5","9.6","9.6",":"
"21","Luxembourg","6.1","6.1","6.1","6","6","5.9","5.9","5.9","5.9","5.9","5.9",":"
"22","Hungary","7.3","7.3","7.3","7.4","7.4","7.3","7.1","7","6.9","6.8",":",":"
"23","Malta","6","6.1","6","6.1","6","5.8","5.5","5.4","5.3","5.2","5.1",":"
"24","Netherlands","7.1","7.1","7.2","7.2","7.1","7","7","6.9","6.9","6.8","6.8","6.8"
"25","Austria","5.6","5.7","5.7","5.6","5.5","5.6","5.9","6","5.9","5.8","5.7",":"
"26","Poland","8.4","8.3","8.2","8","7.9","7.7","7.6","7.5","7.4","7.3","7.2",":"
"27","Portugal","13.5","13.5","13.6","13.7","13.5","13.2","12.8","12.4","12.3","12.3","12.4",":"
"28","Romania","6.7","6.7","6.6","6.9","6.9","6.8","6.8","6.8","6.8","6.8","6.8",":"
"29","Slovenia","9.5","9.4","9.3","9.2","9.2","9.3","9.5","9.6","9.6","9.5","9.4",":"
"30","Slovakia","12.7","12.5","12.4","12.3","12.1","11.9","11.6","11.4","11.3","11.2","11.1",":"
"31","Finland","9","9","9","9.1","9.2","9.3","9.3","9.4","9.5","9.5","9.5","9.5"
"32","Sweden","8.1","7.8","7.6","7.8","7.9","7.5","7.7","7.7","7.3","7.3","7","7.3"
"33","United Kingdom","5.8","5.6","5.5","5.5","5.5","5.5","5.6","5.6","5.5","5.3",":",":"
"34","Iceland","4.7","4.6","4.6","4.5","4.5","4.5","4.4","4.4","4.3","4.3","4.3",":"
"35","Norway","3.8","3.7","3.8","4","4.1","4.2","4.2","4.3","4.4","4.3",":",":"
"36","Turkey","10.6","10.6","10.3","10.2","10.1","10","9.9","10.2","10.5",":",":",":"
"37","United States","5.7","5.8","5.6","5.7","5.5","5.5","5.4","5.5","5.3","5.3","5.1",":"
"38","Japan","3.5","3.5","3.4","3.6","3.5","3.4","3.3","3.3","3.4","3.3",":",":"
