"","AGS","Gnamen","Bev","Bev1","Bev20"
"12259",100410100,"Saarbrücken, Landeshauptstadt",175853,1425,2201
"12261",100410511,"Friedrichsthal, Stadt",10409,68,106
"12263",100410512,"Großrosseln",8403,49,NA
"12265",100410513,"Heusweiler",18201,109,200
"12267",100410514,"Kleinblittersdorf",11396,NA,109
"12269",100410515,"Püttlingen, Stadt",19134,93,207
"12271",100410516,"Quierschied",13506,71,149
"12273",100410517,"Riegelsberg",14763,101,144
"12275",100410518,"Sulzbach/ Saar, Stadt",16591,109,213
"12277",100410519,"Völklingen, Stadt",38809,326,467
"12280",100420111,"Beckingen",15355,114,191
"12282",100420112,"Losheim am See",15906,118,181
"12284",100420113,"Merzig, Kreisstadt",29727,224,351
"12286",100420114,"Mettlach",12180,NA,NA
"12288",100420115,"Perl",7775,76,75
"12290",100420116,"Wadern, Stadt",16181,83,192
"12292",100420117,"Weiskirchen",6512,36,NA
"12295",100430111,"Eppelborn",17726,98,199
"12297",100430112,"Illingen",16978,93,187
"12299",100430113,"Merchweiler",10219,NA,129
"12301",100430114,"Neunkirchen, Kreisstadt",46172,343,553
"12303",100430115,"Ottweiler, Stadt",14934,90,193
"12305",100430116,"Schiffweiler",15993,94,190
"12307",100430117,"Spiesen-Elversberg",13509,75,NA
"12310",100440111,"Dillingen/ Saar, Stadt",20253,171,213
"12312",100440112,"Lebach, Stadt",19484,NA,219
"12314",100440113,"Nalbach",9302,NA,117
"12316",100440114,"Rehlingen-Siersburg",14526,95,168
"12318",100440115,"Saarlouis, Kreisstadt",34479,252,388
"12320",100440116,"Saarwellingen",13348,63,141
"12322",100440117,"Schmelz",16435,112,205
"12324",100440118,"Schwalbach",17320,99,NA
"12326",100440119,"Überherrn",11655,NA,157
"12328",100440120,"Wadgassen",17885,110,212
"12330",100440121,"Wallerfangen",9542,61,120
"12332",100440122,"Bous",7092,53,83
"12334",100440123,"Ensdorf",6556,50,81
"12337",100450111,"Bexbach, Stadt",18038,91,175
"12339",100450112,"Blieskastel, Stadt",21255,125,233
"12341",100450113,"Gersheim",6789,37,NA
"12343",100450114,"Homburg, Kreisstadt",41502,297,605
"12345",100450115,"Kirkel",10058,NA,107
"12347",100450116,"Mandelbachtal",11107,NA,115
"12349",100450117,"St. Ingbert, Stadt",36645,214,424
"12352",100460111,"Freisen",8270,65,95
"12354",100460112,"Marpingen",10590,57,119
"12356",100460113,"Namborn",7406,40,NA
"12358",100460114,"Nohfelden",10247,57,117
"12360",100460115,"Nonnweiler",8844,38,NA
"12362",100460116,"Oberthal",6158,42,64
"12364",100460117,"St. Wendel, Kreisstadt",26220,140,288
"12366",100460118,"Tholey",12385,90,NA
