geo;2015M04;2015M05;2015M06;2015M07;2015M08;2015M09;2015M10;2015M11;2015M12;2016M01;2016M02;2016M03
Euro area (changing composition);0,2;0,2;0;-0,6;0;0,2;0,1;-0,1;0;-1,4;0,2;1,2
Euro area (19 countries);0,2;0,2;0;-0,6;0;0,2;0,1;-0,1;0;-1,4;0,2;:
Euro area (18 countries);0,2;0,2;0;-0,6;0;0,2;0,1;-0,1;0;-1,5;0,2;:
European Union (changing composition);0,3;0,2;0;-0,5;0;0,1;0,1;-0,1;0;-1,2;0,1;:
EU (28 countries);0,3;0,2;0;-0,5;0;0,1;0,1;-0,1;0;-1,2;0,1;:
Belgium;0,3;0,3;0,2;-1,3;1,3;-0,2;0,3;0,1;0;-1,7;1,7;:
Bulgaria;0,5;0;-0,5;0,2;0,1;-0,8;-0,2;-0,3;0,4;-0,2;-0,5;:
Czech Republic;0,4;0,3;0,2;-0,2;-0,3;-0,1;-0,1;-0,4;-0,2;0,6;0,1;:
Denmark;0,2;0;-0,1;-0,1;-0,3;0,3;-0,1;-0,2;-0,1;-0,5;0,5;:
Germany;-0,1;0,1;-0,1;0,2;0;-0,2;0;0;0;-1;0,4;:
Estonia;0,6;0,4;0;-0,3;-0,2;-0,6;0,2;-0,3;-0,7;-0,2;0,8;:
Ireland;-0,1;0,5;0,4;-0,3;0,3;-0,5;-0,3;-0,3;-0,1;-0,9;0,4;:
Greece;0,4;-0,2;0,9;-1,2;-0,2;1,2;-0,2;-0,7;0;-1,7;0;:
Spain;0,7;0,4;0,2;-1,5;-0,4;0,4;0,3;0,3;-0,4;-2,5;-0,4;:
France;0,1;0,3;-0,1;-0,5;0,4;-0,4;0,1;-0,2;0,2;-1,1;0,3;:
Croatia;0,4;0,6;0,3;-0,2;0,2;-0,6;-0,2;-0,6;-0,6;-0,4;-0,3;:
Italy;0,4;0,2;0,1;-1,9;-0,2;1,7;0,4;-0,4;0;-2,2;-0,4;:
Cyprus;0,3;1,1;0,3;-0,6;0,7;-0,6;-0,2;-1,2;-0,6;-1,4;-0,6;:
Latvia;0,6;0,8;-0,1;-1,1;-0,4;-0,2;0;-0,1;-0,3;-0,7;0,1;:
Lithuania;0,7;0,6;-0,2;-0,5;-0,9;0,6;0,5;-0,1;-0,4;-0,4;-0,3;:
Luxembourg;0,1;0,5;0,2;-1,3;0,8;-0,3;-0,2;0,1;-0,5;-1,5;1,3;:
Hungary;0,4;0,7;0,2;0;-0,6;-0,6;0,3;0;-0,3;-0,1;-0,1;:
Malta;2,8;0,9;1;0;0,3;-0,8;-0,6;-2,5;-0,1;-1,6;0,6;:
Netherlands;0,8;0,3;-0,6;0,7;-0,5;-0,2;0;-0,8;-0,1;-1,5;0,9;:
Austria;0,1;0,2;0;-0,5;-0,2;0,5;0,1;0;0,6;-1,1;-0,1;:
Poland;0,4;0,1;0,1;-0,1;-0,3;-0,3;0,1;-0,1;-0,2;-0,2;0;:
Portugal;0,4;0,5;-0,1;-0,7;-0,1;0,7;-0,1;-0,4;-0,3;-1,1;-0,5;:
Romania;0,2;0,7;-2,5;-0,5;-0,6;0,3;0,3;0,3;0,2;-0,6;-0,3;:
Slovenia;0,1;0,7;-0,1;-0,7;0;-0,1;0;0,1;-0,4;-1,3;0;:
Slovakia;0,3;0,3;0,1;-0,3;-0,2;-0,2;0,1;0;-0,4;-0,3;0,1;:
Finland;0;-0,1;0;-0,3;0,1;0,2;0,2;0;-0,2;-0,5;0,2;:
Sweden;0,2;0,4;-0,3;0,1;-0,2;0,5;0,1;-0,2;0,2;-0,6;0,3;:
United Kingdom;0,2;0,2;0;-0,2;0,2;-0,1;0,1;0;0,1;-0,8;:;:
Iceland;0,2;0,4;0,8;0,9;0,4;-1,8;-0,3;-0,9;0,8;-0,8;0,2;:
Norway;0,4;0,2;0,3;-0,2;-0,2;0,8;0,6;0,4;-0,4;0,5;0,6;:
Switzerland;-0,3;0,1;0,1;-0,2;-0,5;0,3;0,1;-0,4;-0,1;-0,7;0,2;:
Turkey;1,3;0,5;-0,2;0;0,3;0,8;1,7;0,5;0,2;2;0;:
United States;0,2;0,6;0,3;-0,1;-0,3;-0,3;-0,1;-0,4;-0,2;:;:;:
