"","Land","FlÃ¤che (kmÂ²)","Einwohner ","Einw. je kmÂ²","Hauptstadt"
"2","Baden-Württemberg",35751.36,10569111,296,"Stuttgart"
"3","Bayern",70550.23,12519571,177,"München"
"4","Berlin",891.7,3375222,3785,"Berlin"
"5","Brandenburg",29485.63,2449511,83,"Potsdam"
"6","Bremen",419.24,654774,1562,"Bremen"
"7","Hamburg",755.3,1734272,2296,"Hamburg"
"8","Hessen",21114.93,6016481,285,"Wiesbaden"
"9","Mecklenburg-Vorpommern",23210.55,1600327,69,"Schwerin"
"10","Niedersachsen",47613.78,7778995,163,"Hannover"
"11","Nordrhein-Westfalen",34109.7,17554329,515,"Düsseldorf"
"12","Rheinland-Pfalz",19854.1,3990278,201,"Mainz"
"13","Saarland",2568.7,994287,387,"Saarbrücken"
"14","Sachsen",18420.01,4050204,220,"Dresden"
"15","Sachsen-Anhalt",20450.64,2259393,110,"Magdeburg"
"16","Schleswig-Holstein",15799.61,2806531,178,"Kiel"
"17","Thüringen",16172.46,2170460,134,"Erfurt"
