"","Geo","X2012Q1","X2012Q2","X2012Q3","X2012Q4","X2013Q1","X2013Q2","X2013Q3","X2013Q4","X2014Q1","X2014Q2","X2014Q3","X2014Q4"
"1","BE:Belgium","1","0.8","0.8","0.6","0.5","0.6","0.4","-0.1","0.4","0.5","1.1",":"
"2","BG:Bulgaria","3.9","5.7","4","2.2","-2.1","-3","-2.2","-1.8","3.5","0.3","1.4",":"
"3","CZ:Czech Republic","-1","-1.9","-1.7","-2.4","-1.2","0.1","1.5","1.1","0.9","1.6","2.2","2"
"4","DK:Denmark","1.9","0.5","-0.6","0","0.4","0.1","0.2","-0.7","-0.9","0","0.9",":"
"5","DE:Germany","1.5","0.7","0.1","0.4","-0.4","1","2","0.7","1","0.8","1.1","1.7"
"6","EE:Estonia","6.2","2.5","8","4.1","4.1","5","3.2","2.9","3.9","3.5","5.4",":"
"7","IE:Ireland","-3.5","-2.8","0.6","-0.2","-0.8","-1.2","-0.7","-0.6","0.7","1.2","0",":"
"8","EL:Greece","-8.3","-9.1","-6.9","-6.9","-5.1","-2.3","-3.2","2.8","-0.4","0.7","3.3","1.7"
"9","ES:Spain","-1.9","-2.5","-3.6","-3.7","-5.5","-3.6","-0.3","0.5","1.2","2.5","2.7",":"
"10","FR:France","-0.3","-0.6","-0.6","0","-0.6","0.3","0.5","0.7","0.1","0.6","0.9","0.7"
"11","HR:Croatia","-0.9","-3.2","-3.7","-4.3","-2.8","0","-0.3","-1.7","-0.5","-0.5","-1.1",":"
"12","IT:Italy","-3.3","-4.3","-4.7","-3.7","-3.2","-3.7","-2.6","-1.6","0","0.5","0.3",":"
"13","CY:Cyprus","2","0.6","-1.1","-4.1","-5.2","-7.3","-6.3","-5.4","-1.6","-0.1","2.1",":"
"14","LV:Latvia","3","4.6","2.7","1.8","5.9","8.2","8.4","2.3","2.7","2.3","2.1",":"
"15","LT:Lithuania","7.3","3.2","2","2.2","1.4","3.9","7","4.3","6","6.4","4",":"
"16","LU:Luxembourg","4.1","1.7","1.2","0.6","0.8","1.2","1.7","2.1","2.1","3.2","2.9",":"
"17","HU:Hungary","-0.3","-2.1","-5","0","-1","0.6","-0.6","0.6","1.1","2.4","0.9",":"
"18","MT:Malta","-0.2","0.2","0.6","1.2","-0.1","1.3","2.5","2.6","1.3","3.3","3.2",":"
"19","NL:Netherlands","-0.7","-1.2","-1.5","-2.3","-2.3","-2.1","-2.2","0.3","-1","0.2","0.6","0.6"
"20","AT:Austria","3.1","1.1","0.3","-1.8","-0.3","-1.1","0.1","0.7","0","0","0.1","0.4"
"21","PL:Poland","2.1","1.3","-0.2","0.3","0.3","0.6","1.2","2.2","2.4","2.9","3.5",":"
"22","PT:Portugal","-5","-5.5","-5.4","-4.9","-3.9","-2","-1","1.3","2.1","2.1","2.5",":"
"23","RO:Romania","1","2.4","1.2","0","-0.8","0","1.5","2.4","6.6","4.1","4.6",":"
"24","SI:Slovenia","-0.4","-3.2","-4.6","-3.5","-6.4","-3.2","-4.4","-1.6","1.1","0.5","0.8",":"
"25","SK:Slovakia","0.2","-0.2","-0.7","-1.1","-1.7","0.3","-0.9","-0.7","2.8","2.3","1.6",":"
"26","FI:Finland","4.7","-2.5","-1.1","-0.3","-3.5","1.2","0.3","-0.8","0.3","-0.3","0",":"
"27","SE:Sweden","1.2","0.1","0.8","1.2","1.6","1.8","2","2.3","2","3.1","2.4",":"
"28","UK:United Kingdom","1.1","1","1.2","1.2","1.7","1.3","2","1.7","1.5","2","2.2","2.3"
"29","IS:Iceland","2.4","2.5","0.7","2.4","0.3","0.6","1.2","1.1","3.3","4.3","0.7",":"
"30","NO:Norway","4.6","2.8","3.6","3","1.5","3","2.3","1.6","2.1","2","1.9","2.5"
"31","CH:Switzerland","2.7","2.6","3","2.8","2.2","2.7","2","1.8","0.8","0.9","1.3",":"
"32","MK:Former Yugoslav Republic of Macedonia, the","-1.5","1.4","3.1","1.7","6.1","4","-0.9","-0.7","-0.1","3.8","2.5",":"
