geo ;2012Q1;2012Q2;2012Q3;2012Q4;2013Q1;2013Q2;2013Q3;2013Q4;2014Q1;2014Q2;2014Q3;2014Q4
Euro area (changing composition);-0,1;-0,3;-0,1;-0,4;-0,4;0,3;0,2;0,3;0,3;0,1;0,2;0,3
Euro area (19 countries);-0,1;-0,3;-0,1;-0,4;-0,4;0,4;0,2;0,3;0,3;0,1;0,2;0,3
Euro area (18 countries);-0,1;-0,3;-0,1;-0,4;-0,4;0,3;0,2;0,3;0,3;0,1;0,2;0,3
EU (28 countries);-0,1;-0,2;0;-0,4;-0,1;0,4;0,3;0,4;0,4;0,2;0,3;0,4
Belgium;0,2;-0,3;0,1;0,1;-0,2;0,2;0,4;0,2;0,4;0,1;0,3;0,2
Bulgaria;0,1;0,1;-0,1;-0,2;0,5;0,1;0,7;0,6;0,1;0,3;0,4;0,4
Czech Republic;-0,1;-0,4;-0,5;-0,5;-0,8;0,5;0,4;1,1;0,3;0,3;0,4;0,4
Denmark;-0,1;-0,3;-0,3;-0,5;0,3;-0,7;0,7;0,2;0,3;0,1;0,6;0,5
Germany;0,3;0,1;0,1;-0,4;-0,4;0,8;0,3;0,4;0,8;-0,1;0,1;0,7
Estonia;1,1;1,4;1;0;1,2;-1,1;0,5;0,8;0,2;1;0,4;1,2
Ireland;:;:;:;:;:;:;:;:;:;:;:;:
Greece;-1;-1,8;-1;-1;-1,8;-0,4;-0,5;-0,2;0,7;0,3;0,7;-0,4
Spain;-0,6;-0,6;-0,5;-0,8;-0,3;-0,1;0,1;0,3;0,3;0,5;0,5;0,7
France;0,2;-0,3;0,2;-0,2;-0,1;0,7;-0,1;0,3;-0,1;-0,1;0,3;0,1
Croatia;-1,8;-0,3;0,5;-0,8;-0,2;0,4;-0,2;-0,9;0,3;-0,2;0,2;0
Italy;-0,9;-0,6;-0,6;-0,6;-0,8;-0,1;0,1;0;-0,1;-0,2;-0,1;0
Cyprus;-0,2;-0,8;-1,1;-1,6;-1,8;-1,7;-0,7;-0,5;-0,3;-0,3;-0,9;-0,6
Latvia;1;1;2;0,4;2,4;-0,2;1,4;0,8;0,2;0,8;0,5;0,6
Lithuania;1,3;-0,2;2,1;0,6;0,2;0,9;1,1;0,8;0,5;0,8;0,5;0,6
Luxembourg;-1,8;1,5;-0,4;1,6;-0,6;1,7;-0,2;0,1;1;0,5;2,3;:
Hungary;-1,3;-0,7;0;-0,4;0,9;0,6;1,1;0,8;1,1;1;0,4;0,8
Malta;0,4;1;0,7;0,9;0,2;1,4;0;0,9;1;1,2;0,8;0,8
Netherlands;-0,1;-0,2;-0,6;-0,9;0,3;-0,4;0,3;0,4;-0,4;0,7;0,3;0,8
Austria;1,5;-0,3;0,2;0;-0,3;0,3;0,2;0,4;-0,1;0;0,1;-0,2
Poland;0,1;0;0;0;0,3;0,8;0,9;0,8;1;0,6;0,8;0,7
Portugal;-0,4;-1,4;-1,1;-1,6;0;0,5;-0,1;1;-0,5;0,5;0,2;0,5
Romania;0;1,9;-1,3;0,1;1,3;1,6;1;1,1;0,3;-0,6;2,1;0,7
Slovenia;-0,2;-1,5;-0,5;-1,3;0;0,1;0,4;1,3;0;1;0,6;0,3
Slovakia;:;:;:;:;:;:;:;:;:;:;:;:
Finland;0;-1,5;-0,7;-0,8;-0,1;0;0,3;-0,2;-0,2;0,2;0,1;-0,2
Sweden;0,5;0,7;-0,1;-0,5;1,1;-0,2;0,6;0,9;0,3;0,6;0,5;1,1
United Kingdom;0,1;-0,2;0,8;-0,3;0,6;0,6;0,7;0,4;0,9;0,8;0,6;0,6
Iceland;:;:;:;:;:;:;:;:;:;:;:;:
Norway;2,1;0,2;-1,3;0,7;-0,2;1,2;0,7;-0,4;0,5;1,1;0,5;0,9
Switzerland;0,1;0,3;0,6;0,4;0,2;1,1;0,3;0,5;0,5;0,3;0,7;0,6
Former Yugoslav Republic of Macedonia, the;:;:;:;:;:;:;:;:;:;:;:;:
United States;0,6;0,4;0,6;0;0,7;0,4;1,1;0,9;-0,5;1,1;1,2;0,5
