"","County","X..of.Murders.in.2012","Color.Code"
"1","Alameda",153,"Red"
"2","Alpine",0,"Green"
"3","Amador",0,"Green"
"4","Butte",11,"Orange"
"5","Calaveras",0,"Green"
"6","Colusa",1,"Orange"
"7","Contra Costa",55,"Yellow"
"8","Del Norte",1,"Orange"
"9","El Dorado",3,"Orange"
"10","Fresno",76,"Yellow"
"11","Glenn",0,"Green"
"12","Humboldt",2,"Orange"
"13","Imperial",3,"Orange"
"14","Inyo",0,"Green"
"15","Kern",65,"Yellow"
"16","Kings",4,"Orange"
"17","Lake",3,"Orange"
"18","Lassen",1,"Orange"
"19","Los Angeles",599,"Red"
"20","Madera",2,"Orange"
"21","Marin",0,"Green"
"22","Mariposa",3,"Orange"
"23","Mendocino",6,"Orange"
"24","Merced",23,"Yellow"
"25","Modoc",1,"Orange"
"26","Mono",0,"Green"
"27","Monterey",45,"Yellow"
"28","Napa",1,"Orange"
"29","Nevada",1,"Orange"
"30","Orange",51,"Yellow"
"31","Placer",2,"Orange"
"32","Plumas",0,"Green"
"33","Riverside",76,"Yellow"
"34","Sacramento",79,"Yellow"
"35","San Benito",1,"Orange"
"36","San Bernardino",102,"Red"
"37","San Diego",107,"Red"
"38","San Francisco",69,"Yellow"
"39","San Joaquin",89,"Yellow"
"40","San Luis Obispo",4,"Orange"
"41","San Mateo",10,"Orange"
"42","Santa Barbara",6,"Orange"
"43","Santa Clara",55,"Yellow"
"44","Santa Cruz",10,"Orange"
"45","Shasta",7,"Orange"
"46","Sierra",0,"Green"
"47","Siskiyou",5,"Orange"
"48","Solano",27,"Yellow"
"49","Sonoma",4,"Orange"
"50","Stanislaus",38,"Yellow"
"51","Sutter",5,"Orange"
"52","Tehama",3,"Orange"
"53","Trinity",4,"Orange"
"54","Tulare",33,"Yellow"
"55","Tuolumne",0,"Green"
"56","Ventura",21,"Yellow"
"57","Yolo",0,"Green"
"58","Yuba",6,"Orange"
